decaimiento (us);evento;evento restado
40008;1707959320;850
40006;1707959321;851
40004;1707959322;852
40005;1707959323;853
40004;1707959324;854
40005;1707959325;855
40008;1707959326;856
40008;1707959327;857
40009;1707959328;858
40004;1707959329;859
40003;1707959330;860
40005;1707959331;861
40006;1707959332;862
40009;1707959333;863
40004;1707959334;864
40001;1707959335;865
40007;1707959336;866
40001;1707959337;867
40006;1707959338;868
40003;1707959339;869
40005;1707959340;870
40004;1707959341;871
40007;1707959342;872
40005;1707959343;873
40006;1707959344;874
40003;1707959345;875
40001;1707959346;876
40006;1707959347;877
40006;1707959348;878
40006;1707959349;879
40009;1707959350;880
40005;1707959351;881
40004;1707959352;882
40005;1707959353;883
40003;1707959354;884
40003;1707959355;885
40002;1707959356;886
40004;1707959357;887
40005;1707959358;888
40002;1707959359;889
40005;1707959360;890
40004;1707959361;891
40003;1707959362;892
40002;1707959363;893
40005;1707959364;894
40002;1707959365;895
40004;1707959366;896
40005;1707959367;897
40002;1707959368;898
40007;1707959369;899
40002;1707959370;900
40007;1707959371;901
40003;1707959372;902
40005;1707959373;903
40006;1707959374;904
40002;1707959375;905
40002;1707959376;906
40003;1707959377;907
40004;1707959378;908
40005;1707959379;909
40005;1707959380;910
40001;1707959381;911
40005;1707959382;912
40003;1707959383;913
40007;1707959384;914
40006;1707959385;915
40005;1707959386;916
40001;1707959387;917
40003;1707959388;918
40008;1707959389;919
40007;1707959390;920
40007;1707959391;921
40003;1707959392;922
40004;1707959393;923
40005;1707959394;924
40006;1707959395;925
40003;1707959396;926
40007;1707959397;927
40002;1707959398;928
40002;1707959399;929
40005;1707959400;930
40001;1707959401;931
40004;1707959402;932
40004;1707959403;933
40004;1707959404;934
40001;1707959405;935
40005;1707959406;936
40004;1707959407;937
40004;1707959408;938
40004;1707959409;939
40003;1707959410;940
40004;1707959411;941
40002;1707959412;942
40003;1707959413;943
40002;1707959414;944
40003;1707959415;945
40003;1707959416;946
40005;1707959417;947
40004;1707959418;948
40003;1707959419;949
40000;1707959420;950
40009;1707959421;951
40002;1707959422;952
40001;1707959423;953
40009;1707959424;954
40008;1707959425;955
40005;1707959426;956
40003;1707959427;957
40006;1707959428;958
1060;1707959429;959
40005;1707959429;959
40005;1707959430;960
40001;1707959431;961
40007;1707959432;962
40006;1707959433;963
40003;1707959434;964
40002;1707959435;965
40006;1707959436;966
240;1707959437;967
40002;1707959437;967
40004;1707959438;968
40008;1707959439;969
40004;1707959440;970
40004;1707959441;971
40007;1707959442;972
40003;1707959443;973
40006;1707959444;974
40005;1707959445;975
40004;1707959446;976
40006;1707959447;977
40002;1707959448;978
40002;1707959449;979
40003;1707959450;980
40006;1707959451;981
40006;1707959452;982
40002;1707959453;983
40003;1707959454;984
40006;1707959455;985
40003;1707959456;986
40003;1707959457;987
40007;1707959458;988
40005;1707959459;989
40003;1707959460;990
40011;1707959461;991
40007;1707959462;992
40003;1707959463;993
40003;1707959464;994
40006;1707959465;995
40003;1707959466;996
40002;1707959467;997
40006;1707959468;998
